info_id,info_style,info_availability,info_abv,info_notes 
597,American Pale Ale (APA)                                                                             , Year-round                                                                                         ,6.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
598,American IPA                                                                                        , Year-round                                                                                         ,4.7,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
599,Bohemian Pilsener                                                                                   , Year-round                                                                                         ,4.8,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
600,English Bitter                                                                                      , Summer                                                                                             ,5.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
601,American Imperial IPA                                                                               , Rotating                                                                                           ,7.8,"Always and Forever Imperial IPA (7.8%) is the imperial version of Forever Ever hopped with Amarillo, Mosaic, Citra and Azacca.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          "
602,English Sweet / Milk Stout                                                                          , Winter                                                                                             ,8.2,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
603,Belgian Strong Dark Ale                                                                             , Rotating                                                                                           ,9.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
604,Belgian Strong Dark Ale                                                                             , Limited (brewed once)                                                                              ,12.1,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
605,Herb and Spice Beer                                                                                 , Rotating                                                                                           ,7.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
606,German Altbier                                                                                      , Rotating                                                                                           ,2.9,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
607,Bohemian Pilsener                                                                                   , Year-round                                                                                         ,5.0,"Following in the tradition of Czech Pilsners by offering a combination of firm malt and herbal hop bitterness, Bell’s Lager of the Lakes is as refreshing and crisp as a swim in the Great Lakes.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
608,German Dunkelweizen                                                                                 , Rotating                                                                                           ,4.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
609,American Pale Ale (APA)                                                                             , Limited (brewed once)                                                                              ,5.4,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
610,Belgian Saison                                                                                      , Limited (brewed once)                                                                              ,3.5,"In the early farming season of Wallonia, the farm hands would sip a refreshing drink that would be later named ""Saison"". During the later parts of the work season, the temperatures would be at their highest, and the beers at their ""funkiest"". Without modern technology like refrigeration, these beers would develope acidity and some rather funky off flavors due to the storage conditions. They were dry, acidic and quenching to say the least. We wanted to re create the process in this beer,l (minus the major funk) by developing lactic acid and matching that with the breadiness of Sonoran White Wheat, and the unique profile of French Saison Yeast. Many of our favorite farmhouse Saisons utilize the dry hopping method to add a resinous depth, as we did with Jarrylo hops in this beer.                                                                                                                                                                                                                     "
611,German Hefeweizen                                                                                   , Year-round                                                                                         ,5.3,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
612,Fruit and Field Beer                                                                                , Limited (brewed once)                                                                              ,4.75,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
613,Rye Beer                                                                                            , Limited (brewed once)                                                                              ,10.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
614,Munich Dunkel Lager                                                                                 , Year-round                                                                                         ,4.8,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
615,American Imperial Stout                                                                             , Rotating                                                                                           ,14.9,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
616,American Imperial IPA                                                                               , Rotating                                                                                           ,5.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
617,Belgian Saison                                                                                      , Rotating                                                                                           ,6.0,"This farmhouse-style saison features honey from the orange groves of Florida. While this beer has a lovely clean and dry finish, the honey brings a slight sweetness. The golden hue and big frothy head make a perfect Spring beer.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "
618,American Pale Ale (APA)                                                                             , Rotating                                                                                           ,1.4,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
619,Belgian Saison                                                                                      , Rotating                                                                                           ,6.3,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
620,Rye Beer                                                                                            , Rotating                                                                                           ,5.6,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
621,American Wheatwine Ale                                                                              , Winter                                                                                             ,10.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
622,Fruit and Field Beer                                                                                , Rotating                                                                                           ,4.3,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
623,American Wild Ale                                                                                   , Limited (brewed once)                                                                              ,6.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
624,Belgian Saison                                                                                      , Rotating                                                                                           ,7.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
625,American Wild Ale                                                                                   , Limited (brewed once)                                                                              ,4.2,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
626,American Imperial IPA                                                                               , Limited (brewed once)                                                                              ,7.8,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
627,English Bitter                                                                                      , Rotating                                                                                           ,3.8,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
628,German Kellerbier / Zwickelbier                                                                     , Year-round                                                                                         ,2.4,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
629,American Dark Wheat Ale                                                                             , Rotating                                                                                           ,4.9,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
630,Herb and Spice Beer                                                                                 , Limited (brewed once)                                                                              ,5.8,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
631,Fruit and Field Beer                                                                                , Rotating                                                                                           ,3.3,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
632,German Hefeweizen                                                                                   , Year-round                                                                                         ,5.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
633,American Amber / Red Ale                                                                            , Rotating                                                                                           ,7.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
634,American Blonde Ale                                                                                 , Summer                                                                                             ,4.6,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
